Date,Price,,,,,
6-Nov-19,452.8,,,,,
5-Nov-19,452.5,,,,,
4-Nov-19,452.6,,,,,
1-Nov-19,448.2,,,,,
31-Oct-19,446.4,,,,,
30-Oct-19,449.9,,,,,
29-Oct-19,451.4,,,,,
28-Oct-19,452.4,,,,,
25-Oct-19,455,,,,,
24-Oct-19,455.4,,,,,
23-Oct-19,454,,,,,
22-Oct-19,453.6,,,,,
21-Oct-19,451.4,,,,,
18-Oct-19,453.7,,,,,
17-Oct-19,457,,,,,
16-Oct-19,460,,,,,
15-Oct-19,461.4,,,,,
11-Oct-19,459.9,,,,,
10-Oct-19,459.5,,,,,
9-Oct-19,463.3,,,,,
8-Oct-19,464.8,,,,,
7-Oct-19,462.6,,,,,
4-Oct-19,460.7,,,,,
3-Oct-19,459.2,,,,,
2-Oct-19,455.7,,,,,
1-Oct-19,452.2,,,,,
30-Sep-19,451.3,,,,,
27-Sep-19,445.8,,,,,
26-Sep-19,447.6,,,,,
25-Sep-19,448.9,,,,,
24-Sep-19,449.3,,,,,
23-Sep-19,448.3,,,,,
20-Sep-19,447.4,,,,,
19-Sep-19,450.9,,,,,
18-Sep-19,452.3,,,,,
17-Sep-19,452.5,,,,,
16-Sep-19,452.7,,,,,
13-Sep-19,449.8,,,,,
12-Sep-19,447.1,,,,,
11-Sep-19,441.1,,,,,
10-Sep-19,439.4,,,,,
9-Sep-19,439.8,,,,,
6-Sep-19,442.8,,,,,
5-Sep-19,445.3,,,,,
4-Sep-19,446.5,,,,,
3-Sep-19,447.5,,,,,
30-Aug-19,448,,,,,
29-Aug-19,447.5,,,,,
28-Aug-19,447.9,,,,,
27-Aug-19,446.4,,,,,
26-Aug-19,448.4,,,,,
23-Aug-19,449.9,,,,,
22-Aug-19,453.1,,,,,
21-Aug-19,453.1,,,,,
20-Aug-19,451.4,,,,,
19-Aug-19,450.2,,,,,
16-Aug-19,452.4,,,,,
15-Aug-19,451.2,,,,,
14-Aug-19,450.2,,,,,
13-Aug-19,448.9,,,,,
12-Aug-19,452.4,,,,,
9-Aug-19,454.1,,,,,
8-Aug-19,452.2,,,,,
7-Aug-19,449.4,,,,,
6-Aug-19,448,,,,,
2-Aug-19,444.8,,,,,
1-Aug-19,442,,,,,
31-Jul-19,443.5,,,,,
30-Jul-19,448.4,,,,,
29-Jul-19,449.4,,,,,
26-Jul-19,450.5,,,,,
25-Jul-19,448.9,,,,,
24-Jul-19,450.2,,,,,
23-Jul-19,447.5,,,,,
22-Jul-19,447,,,,,
19-Jul-19,449.6,,,,,
18-Jul-19,445.4,,,,,
17-Jul-19,444.1,,,,,
16-Jul-19,445.3,,,,,
15-Jul-19,446.9,,,,,
12-Jul-19,448.1,,,,,
11-Jul-19,448.1,,,,,
10-Jul-19,446.1,,,,,
9-Jul-19,441,,,,,
8-Jul-19,438.4,,,,,
5-Jul-19,438.8,,,,,
4-Jul-19,449.7,,,,,
3-Jul-19,450.2,,,,,
2-Jul-19,449.3,,,,,
28-Jun-19,452,,,,,
27-Jun-19,441.1,,,,,
26-Jun-19,440.8,,,,,
25-Jun-19,445.8,,,,,
24-Jun-19,452.1,,,,,
21-Jun-19,453.4,,,,,
20-Jun-19,455.8,,,,,
19-Jun-19,455.5,,,,,
18-Jun-19,460.5,,,,,
17-Jun-19,459.6,,,,,
14-Jun-19,454.9,,,,,
13-Jun-19,456.5,,,,,
12-Jun-19,457.5,,,,,
11-Jun-19,455.5,,,,,
10-Jun-19,454.4,,,,,
7-Jun-19,453,,,,,
6-Jun-19,454.7,,,,,
5-Jun-19,450.2,,,,,
4-Jun-19,453.1,,,,,
3-Jun-19,455.3,,,,,
31-May-19,459.5,,,,,
30-May-19,459.1,,,,,
29-May-19,458.2,,,,,
28-May-19,450.9,,,,,
27-May-19,445.8,,,,,
24-May-19,444.4,,,,,
23-May-19,441.8,,,,,
22-May-19,445.8,,,,,
21-May-19,442.4,,,,,
17-May-19,443.2,,,,,
16-May-19,447,,,,,
15-May-19,441.5,,,,,
14-May-19,438.8,,,,,
13-May-19,434.5,,,,,
10-May-19,435.3,,,,,
9-May-19,436.1,,,,,
8-May-19,437.6,,,,,
7-May-19,435.7,,,,,
6-May-19,430.8,,,,,
3-May-19,429.9,,,,,
2-May-19,430.1,,,,,
1-May-19,432.3,,,,,
30-Apr-19,437.2,,,,,
29-Apr-19,438.1,,,,,
26-Apr-19,439.5,,,,,
25-Apr-19,442.4,,,,,
24-Apr-19,439.1,,,,,
23-Apr-19,437.8,,,,,
22-Apr-19,443.1,,,,,
18-Apr-19,449.1,,,,,
17-Apr-19,451.2,,,,,
16-Apr-19,454.5,,,,,
15-Apr-19,455.7,,,,,
12-Apr-19,456.3,,,,,
11-Apr-19,456.2,,,,,
10-Apr-19,456,,,,,
9-Apr-19,455.3,,,,,
8-Apr-19,454.5,,,,,
5-Apr-19,457.4,,,,,
4-Apr-19,458,,,,,
3-Apr-19,455.4,,,,,
2-Apr-19,458.7,,,,,
1-Apr-19,456.6,,,,,
29-Mar-19,455.3,,,,,
28-Mar-19,455.2,,,,,
27-Mar-19,451.4,,,,,
26-Mar-19,451.7,,,,,
25-Mar-19,456.7,,,,,
22-Mar-19,453.9,,,,,
21-Mar-19,468.2,,,,,
20-Mar-19,464.7,,,,,
19-Mar-19,464.5,,,,,
18-Mar-19,466.3,,,,,
15-Mar-19,464.8,,,,,
14-Mar-19,456.2,,,,,
13-Mar-19,453.3,,,,,
12-Mar-19,453.3,,,,,
11-Mar-19,450.8,,,,,
8-Mar-19,452.3,,,,,
7-Mar-19,451.2,,,,,
6-Mar-19,450.3,,,,,
5-Mar-19,452.8,,,,,
4-Mar-19,457.8,,,,,
1-Mar-19,456.3,,,,,
28-Feb-19,463.4,,,,,
27-Feb-19,465.7,,,,,
26-Feb-19,467.6,,,,,
25-Feb-19,470.8,,,,,
22-Feb-19,473.7,,,,,
21-Feb-19,474.8,,,,,
20-Feb-19,470.9,,,,,
19-Feb-19,473.7,,,,,
15-Feb-19,475.8,,,,,
14-Feb-19,478.7,,,,,
13-Feb-19,480.8,,,,,
12-Feb-19,481.2,,,,,
11-Feb-19,479.7,,,,,
8-Feb-19,483.3,,,,,
7-Feb-19,484.2,,,,,
6-Feb-19,484.8,,,,,
5-Feb-19,482.6,,,,,
4-Feb-19,483.9,,,,,
1-Feb-19,482.4,,,,,
31-Jan-19,481.7,,,,,
30-Jan-19,483.6,,,,,
29-Jan-19,484.5,,,,,
28-Jan-19,486.5,,,,,
25-Jan-19,488.5,,,,,
24-Jan-19,487,,,,,
23-Jan-19,485.9,,,,,
22-Jan-19,485.5,,,,,
21-Jan-19,482.6,,,,,
18-Jan-19,484.2,,,,,
17-Jan-19,483.2,,,,,
16-Jan-19,479.4,,,,,
15-Jan-19,475.8,,,,,
14-Jan-19,478.6,,,,,
11-Jan-19,482.2,,,,,
10-Jan-19,479.4,,,,,
9-Jan-19,483.8,,,,,
8-Jan-19,484.3,,,,,
7-Jan-19,481.4,,,,,
4-Jan-19,478.4,,,,,
3-Jan-19,482.1,,,,,
2-Jan-19,481.8,,,,,
31-Dec-18,473,,,,,
28-Dec-18,473.8,,,,,
27-Dec-18,473.8,,,,,
24-Dec-18,473.8,,,,,
21-Dec-18,474.8,,,,,
20-Dec-18,477.4,,,,,
19-Dec-18,480.4,,,,,
18-Dec-18,480.3,,,,,
17-Dec-18,478.4,,,,,
14-Dec-18,477.8,,,,,
13-Dec-18,482.9,,,,,
12-Dec-18,485.1,,,,,
11-Dec-18,485.5,,,,,
10-Dec-18,487.6,,,,,
7-Dec-18,485.5,,,,,
6-Dec-18,486.1,,,,,
5-Dec-18,484.7,,,,,
4-Dec-18,482.4,,,,,
3-Dec-18,481.7,,,,,
30-Nov-18,479.4,,,,,
29-Nov-18,478.5,,,,,
28-Nov-18,479.2,,,,,
27-Nov-18,473.8,,,,,
26-Nov-18,471.8,,,,,
23-Nov-18,476.1,,,,,
22-Nov-18,476.4,,,,,
21-Nov-18,479,,,,,
20-Nov-18,477.2,,,,,
19-Nov-18,473.2,,,,,
16-Nov-18,476.9,,,,,
15-Nov-18,478.2,,,,,
14-Nov-18,471.1,,,,,
13-Nov-18,473.7,,,,,
9-Nov-18,475.3,,,,,
8-Nov-18,474.7,,,,,
7-Nov-18,475.9,,,,,
6-Nov-18,474.6,,,,,
5-Nov-18,475.3,,,,,
2-Nov-18,478.2,,,,,
1-Nov-18,482.5,,,,,
31-Oct-18,475,,,,,
30-Oct-18,481.2,,,,,
29-Oct-18,481.9,,,,,
26-Oct-18,483.1,,,,,
25-Oct-18,482.7,,,,,
24-Oct-18,482.8,,,,,
23-Oct-18,488,,,,,
22-Oct-18,491.5,,,,,
19-Oct-18,494.7,,,,,
18-Oct-18,490.6,,,,,
17-Oct-18,494.7,,,,,
16-Oct-18,492.5,,,,,
15-Oct-18,497.9,,,,,
12-Oct-18,494.7,,,,,
11-Oct-18,496.5,,,,,
10-Oct-18,496.8,,,,,
9-Oct-18,499.6,,,,,
5-Oct-18,501.3,,,,,
4-Oct-18,499,,,,,
3-Oct-18,499.1,,,,,
2-Oct-18,497.7,,,,,
1-Oct-18,494.6,,,,,
28-Sep-18,497.3,,,,,
27-Sep-18,498.4,,,,,
26-Sep-18,494.7,,,,,
25-Sep-18,490.9,,,,,
24-Sep-18,489.3,,,,,
21-Sep-18,489.7,,,,,
20-Sep-18,489.1,,,,,
19-Sep-18,487,,,,,
18-Sep-18,486.4,,,,,
17-Sep-18,488.8,,,,,
14-Sep-18,490.9,,,,,
13-Sep-18,489.9,,,,,
12-Sep-18,491.7,,,,,
11-Sep-18,493.6,,,,,
10-Sep-18,496.7,,,,,
7-Sep-18,495.5,,,,,
6-Sep-18,498.3,,,,,
5-Sep-18,496.6,,,,,
4-Sep-18,496.8,,,,,
31-Aug-18,495.6,,,,,
30-Aug-18,495,,,,,
29-Aug-18,491.3,,,,,
28-Aug-18,488.6,,,,,
27-Aug-18,492.9,,,,,
24-Aug-18,497.1,,,,,
23-Aug-18,496.6,,,,,
22-Aug-18,501.6,,,,,
21-Aug-18,507.5,,,,,
20-Aug-18,511.9,,,,,
17-Aug-18,510.9,,,,,
16-Aug-18,510.4,,,,,
15-Aug-18,504.1,,,,,
14-Aug-18,507.6,,,,,
13-Aug-18,505,,,,,
10-Aug-18,504.9,,,,,
9-Aug-18,508.7,,,,,
8-Aug-18,510.7,,,,,
7-Aug-18,502.6,,,,,
3-Aug-18,494,,,,,
2-Aug-18,496,,,,,
1-Aug-18,495.8,,,,,
31-Jul-18,500.8,,,,,
30-Jul-18,493.8,,,,,
